variable;unit;tier;description;comment;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Freshwater|Environmental Flow Violations;km3/yr;2;Water withdrawals at the expense of environmental flow requirements;;Water|Environmental flow violation volume;km3/yr;;mapping taken from SHAPE;M;
GDP|MER;billion USD_2010/yr;1;GDP converted to USD at market exchange rate (MER);;Income MER;million US$2017 MER/yr;0.0009096;;M;
GDP|PPP;billion USD_2010/yr;1;GDP converted to USD using purchasing power parity (PPP);;Income PPP;million US$2017 PPP/yr;0.0009096;;M;
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|+|Deforestation;Mt CO2/yr;;;M;linear
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|+|Forest degradation;Mt CO2/yr;;;M;linear
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|+|Other land conversion;Mt CO2/yr;;;M;linear
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|Peatland|+|Positive;Mt CO2/yr;;;M;linear
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|+|Wood Harvest;Mt CO2/yr;;;M;linear
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|Timber|+|Release from HWP;Mt CO2/yr;;;M;linear
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|Soil|++|Emissions;Mt CO2/yr;;;M;linear
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|Residual|+|Positive;Mt CO2/yr;;;M;linear
Gross Emissions|CO2|AFOLU;Mt CO2/yr;1;Gross emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), not including any removals from the atmosphere (e.g., biochar);Emissions reported in this category represent fluxes from the land pool to the atmosphere. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Biomass Burning|+|Burning of Crop Residues;Mt CO2/yr;;;M;linear
Gross Removals|CO2|AFOLU;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including intentional carbon dioxide removals ('Carbon Removal|Land Use') and all un-intentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|+|Regrowth;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including intentional carbon dioxide removals ('Carbon Removal|Land Use') and all un-intentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|Timber|+|Storage in HWP;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including intentional carbon dioxide removals ('Carbon Removal|Land Use') and all un-intentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|Soil|++|Withdrawals;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including intentional carbon dioxide removals ('Carbon Removal|Land Use') and all un-intentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including intentional carbon dioxide removals ('Carbon Removal|Land Use') and all un-intentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool. Net emissions 'Emissions|CO2|AFOLU' = 'Gross Emissions|CO2|AFOLU' + 'Gross Removals|CO2|AFOLU'.;Emissions|CO2|Land|Land-use Change|Residual|+|Negative;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Intentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to intentional carbon dioxide removals ('Carbon Removal|Land Use');Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Intentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to intentional carbon dioxide removals ('Carbon Removal|Land Use');Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Intentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to intentional carbon dioxide removals ('Carbon Removal|Land Use');Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Intentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to intentional carbon dioxide removals ('Carbon Removal|Land Use');Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Intentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to intentional carbon dioxide removals ('Carbon Removal|Land Use');Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Timber|+|Storage in HWP;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Intentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to intentional carbon dioxide removals ('Carbon Removal|Land Use');Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Unintentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to unintentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Regrowth|+|Other Land;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Unintentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to unintentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Regrowth|+|Secondary Forest;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Unintentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to unintentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Regrowth|+|Timber Plantations;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Unintentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to unintentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Soil|Cropland management|+|Withdrawals;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Unintentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to unintentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Soil|Land Conversion|+|Withdrawals;Mt CO2/yr;1;;M;linear
Gross Removals|CO2|AFOLU|Unintentional;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), due to unintentional or indirect removals, e.g. from regrowth of natural vegetation after land abandonment, regrowth of forests after wood harvest or regrowth of timber plantations;Removals reported in this category represent fluxes from the atmosphere to the land pool.;Emissions|CO2|Land|Land-use Change|Residual|+|Negative;Mt CO2/yr;1;;M;linear
Land Cover;million ha;1;Total land cover;;Resources|Land Cover;million ha;;mapping taken from NAVIGATE, NAVIGATE category: land cover;M;
Land Cover|Built-Up Area;million ha;1;Built-up land associated with human settlements;;Resources|Land Cover|+|Urban Area;million ha;;mapping taken from NAVIGATE, NAVIGATE category: land cover;M;
Land Cover|Cropland;million ha;1;Arable land, i.e. land in bioenergy crop, food, and feed/fodder crops, permanent crops as well as other arable land (physical area);;Resources|Land Cover|+|Cropland;million ha;;mapping taken from NAVIGATE, NAVIGATE category: land cover;M;
Land Cover|Cropland|Cereals;million ha;2;Cropland for cereals (maize, rice, temperate cereals and tropical cereals);;Resources|Land Cover|Cropland|Croparea|Crops|+|Cereals;million ha;;mapping taken from NAVIGATE, NAVIGATE category: land cover;M;
Land Cover|Cropland|Cereals|Irrigated;million ha;3;Irrigated cropland (physical area) for cereals (maize, rice, temperate cereals and tropical cereals);;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|++|irrigated;million ha;;;M;
Land Cover|Cropland|Cereals|Rainfed;million ha;3;Rainfed cropland (physical area) for cereals (maize, rice, temperate cereals and tropical cereals);;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|++|rainfed;million ha;;;M;
Land Cover|Cropland|Energy Crops;million ha;2;Cropland for second-generation bioenergy crops (short rotation grasses, short rotation trees);;Resources|Land Cover|Cropland|Croparea|+|Bioenergy crops;million ha;;mapping taken from NAVIGATE, NAVIGATE category: land cover;M;
Land Cover|Cropland|Energy Crops|Irrigated;million ha;3;Irrigated cropland (physical area) for second-generation bioenergy crops (short rotation grasses, short rotation trees);;Resources|Land Cover|Cropland|Croparea|Bioenergy crops|++|irrigated;million ha;;;M;
Land Cover|Cropland|Energy Crops|Rainfed;million ha;3;Rainfed cropland (physical area) for second-generation bioenergy crops (short rotation grasses, short rotation trees);;Resources|Land Cover|Cropland|Croparea|Bioenergy crops|++|rainfed;million ha;;;M;
Land Cover|Cropland|Fallow;million ha;2;Fallow cropland;;Resources|Land Cover|Cropland|+|Fallow;million ha;;;M;
Land Cover|Cropland|Irrigated;million ha;1;Irrigated cropland (physical area);;Resources|Land Cover|Cropland|Croparea|++|Irrigated;million ha;;;M;
Land Cover|Cropland|Oil Crops;million ha;2;Cropland for oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;Resources|Land Cover|Cropland|Croparea|Crops|+|Oil crops;million ha;;;M;
Land Cover|Cropland|Oil Crops|Irrigated;million ha;3;Irrigated cropland (physical area) for oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|++|irrigated;million ha;;;M;
Land Cover|Cropland|Oil Crops|Rainfed;million ha;3;Rainfed cropland (physical area) for oil crops (cotton seed, groundnuts, oilpalms, other oil crops incl rapeseed, soybean, sunflower);;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|++|rainfed;million ha;;;M;
Land Cover|Cropland|Other Crops;million ha;2;Cropland for other crops (fruits, vegetables, nuts, potatoes, pulses, tropical roots);;Resources|Land Cover|Cropland|Croparea|Crops|+|Other crops;million ha;;;M;
Land Cover|Cropland|Other Crops|Irrigated;million ha;3;Irrigated cropland (physical area) for other crops (fruits, vegetables, nuts, potatoes, pulses, tropical roots);;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|++|irrigated;million ha;;;M;
Land Cover|Cropland|Other Crops|Rainfed;million ha;3;Rainfed cropland (physical area) for other crops (fruits, vegetables, nuts, potatoes, pulses, tropical roots);;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|++|rainfed;million ha;;;M;
Land Cover|Cropland|Rainfed;million ha;1;Rainfed cropland (physical area);;Resources|Land Cover|Cropland|Croparea|++|Rainfed;million ha;;;M;
Land Cover|Cropland|Sugar Crops;million ha;2;Cropland for sugar crops (sugar beet, sugar cane);;Resources|Land Cover|Cropland|Croparea|Crops|+|Sugar crops;million ha;;;M;
Land Cover|Cropland|Sugar Crops|Irrigated;million ha;3;Irrigated cropland (physical area) for sugar crops (sugar beet, sugar cane);;Resources|Land Cover|Cropland|Croparea|Crops|Sugar crops|++|irrigated;million ha;;;M;
Land Cover|Cropland|Sugar Crops|Rainfed;million ha;3;Rainfed cropland (physical area) for sugar crops (sugar beet, sugar cane);;Resources|Land Cover|Cropland|Croparea|Crops|Sugar crops|++|rainfed;million ha;;;M;
Land Cover|Cropland|Trees;million ha;2;Trees on cropland for agroforesty;To prevent double-counting, this variable should include only the actual crop area specifically covered by trees, not the entire agroforestry landscape;Resources|Land Cover|Cropland|+|Tree Cover;million ha;;;M;
Land Cover|Forest;million ha;1;Sum of primary, secondary and planted forest (FAO definition);;Resources|Land Cover|+|Forest;million ha;;mapping taken from NAVIGATE, NAVIGATE category: land cover;M;
Land Cover|Forest|Planted;million ha;2;Forest predominantly composed of trees established through planting and/or deliberate seeding (FAO definition);;Resources|Land Cover|Forest|+|Planted Forest;million ha;;;M;
Land Cover|Forest|Planted|Natural;million ha;2;Planted forest which is not classified as plantation forest, in particular re/afforestation for carbon sequestration with native tree species;;Resources|Land Cover|Forest|Planted Forest|+|Natural;million ha;;;M;
Land Cover|Forest|Planted|Natural|Other;million ha;2;Other planted forest which is not classified as plantation forest;;;;;not represented;;
Land Cover|Forest|Planted|Natural|Re/Afforestation;million ha;2;Reforestation and/or afforestation for carbon sequestration with native tree species resembling natural vegetation;;Resources|Land Cover|Forest|Planted Forest|Natural|+|CO2-price AR;million ha;;;M;
Land Cover|Forest|Planted|Natural|Re/Afforestation;million ha;2;Reforestation and/or afforestation for carbon sequestration with native tree species resembling natural vegetation;;Resources|Land Cover|Forest|Planted Forest|Natural|+|NPI_NDC AR;million ha;;;M;
Land Cover|Forest|Planted|Plantation;million ha;2;Plantations are planted forests that are intensively managed and meet have one or two species, even age class, and regular spacing at planting and stand maturity (FAO definition);;Resources|Land Cover|Forest|Planted Forest|+|Plantations;million ha;;;M;
Land Cover|Forest|Planted|Plantation|Re/Afforestation;million ha;2;Reforestation and/or afforestation for carbon sequestration with non-native species and/or as monoculture plantation;;Resources|Land Cover|Forest|Planted Forest|Plantations|+|CO2-price AR;million ha;;;M;
Land Cover|Forest|Planted|Plantation|Timber;million ha;2;Plantations for timber production;;Resources|Land Cover|Forest|Planted Forest|Plantations|+|Timber;million ha;;;M;
Land Cover|Forest|Primary;million ha;2;Naturally regenerated forest of native tree species, where there are no clearly visible indications of human activities and the ecological processes are not significantly disturbed (FAO definition);;Resources|Land Cover|Forest|Natural Forest|+|Primary Forest;million ha;;;M;
Land Cover|Forest|Secondary;million ha;2;Forest predominantly composed of trees established through natural regeneration excluding primary forest (based on FAO definition of Naturally Regenerating Forest);;Resources|Land Cover|Forest|Natural Forest|+|Secondary Forest;million ha;;;M;
Land Cover|Other Land;million ha;2;Other land cover that does not fit into any other land cover category, e.g. ice and water bodies;;;;;;;
Land Cover|Other Natural;million ha;1;Non-forest natural land including primary non-forest, restored and recovered natural land;;Resources|Land Cover|+|Other Land;million ha;;;M;
Land Cover|Other Natural|Primary Non-Forest;million ha;2;Primary non-forest natural land without clearly visible indications of human activities;;Resources|Land Cover|Other Land|Initial;million ha;;;M;
Land Cover|Other Natural|Recovered;million ha;2;Recovered natural land due to the abandonment of agricultural or forestry land without intention for nature/biodiversity conservation;;Resources|Land Cover|Other Land|Recovered;million ha;;;M;
Land Cover|Other Natural|Restored;million ha;2;Intentionally restored natural land for the purpose of nature and/or biodiversity conservation;;Resources|Land Cover|Other Land|Restored;million ha;;;M;
Land Cover|Pasture;million ha;1;Pasture and range land based on FAO definition of 'permanent meadows and pastures';;Resources|Land Cover|+|Pastures and Rangelands;million ha;;mapping taken from NAVIGATE, NAVIGATE category: land cover;M;
Pollution|Nitrogen|Surplus|Animal Waste Management;Tg N/yr;2;Nitrogen surplus of animal waste management;;Resources|Nitrogen|Pollution|Surplus|+|Animal Waste Management;Mt Nr/yr;;additional mapping taken from additional_SHAPE;M;
Pollution|Nitrogen|Surplus|Cropland;Tg N/yr;2;Nitrogen surplus of soil inputs over soil withdrawals in cropland;;Resources|Nitrogen|Pollution|Surplus|+|Cropland;Mt Nr/yr;;additional mapping taken from additional_SHAPE;M;
Pollution|Nitrogen|Surplus|Non-Agricultural Land;Tg N/yr;2;Nitrogen surplus of non-agricultural land;;Resources|Nitrogen|Pollution|Surplus|+|Non-agricultural land;Mt Nr/yr;;additional mapping taken from additional_SHAPE;M;
Pollution|Nitrogen|Surplus|Pasture;Tg N/yr;2;Nitrogen surplus of soil inputs over soil withdrawals in pasture;;Resources|Nitrogen|Pollution|Surplus|+|Pasture;Mt Nr/yr;;additional mapping taken from additional_SHAPE;M;
Population;million;1;Total population;;Population;million people;1;;M;
Population|Prevalence of Normal Weight;million;;Number of adults with body mass index (BMI) BMI between 18.5 and 25 and children with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);;Population;million people;;;M;
Population|Prevalence of Normal Weight;million;;Number of adults with body mass index (BMI) BMI between 18.5 and 25 and children with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);;SDG|SDG03|Prevalence of overweight;million;-1;;M;
Population|Prevalence of Normal Weight;million;;Number of adults with body mass index (BMI) BMI between 18.5 and 25 and children with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);;SDG|SDG02|Prevalence of underweight;million;-1;;M;
Population|Prevalence of Normal Weight|Children;million;;Number of children aged 0-14 with BMI within two standard deviations below reference (lower bound) and one standard deviations above reference (upper bound);;;;;;;
Population|Prevalence of Obesity;million;;Number of adults with with body mass index (BMI) greater than 30 and children with BMI greater than two standard deviations from reference;;SDG|SDG03|Prevalence of obesity;million;;mapping taken from SHAPE;M;
Population|Prevalence of Obesity|Children;million;;Number of children aged 0-14 with BMI greater than two standard deviations from reference;;SDG|SDG03|Prevalence of obesity|Children;million;;mapping taken from SHAPE;M;
Population|Prevalence of Overweight;million;;Number of adults with body mass index (BMI) greater than 25 and children with BMI greater than one standard deviation from reference;;SDG|SDG03|Prevalence of overweight;million;;mapping taken from SHAPE;M;
Population|Prevalence of Overweight|Children;million;;Number of children aged 0-14 years with BMI greater than one standard deviation from reference;;SDG|SDG03|Prevalence of overweight|Children;million;;mapping taken from SHAPE;M;
Population|Prevalence of Underweight;million;;Number of adults with body mass index (BMI) lower than 18.5 and children with BMI lower than two standard deviations from reference;;SDG|SDG02|Prevalence of underweight;million;;mapping taken from SHAPE;M;
Population|Prevalence of Underweight|Children;million;;Number of children aged 0-14 years with BMI lower than two standard deviations from reference;;SDG|SDG02|Prevalence of underweight|Children;million;;mapping taken from SHAPE;M;
Population|Risk of Hunger;million;;Population at risk of hunger, calculated by multipling total population and prevalence of undernourishment which is computed from a probability distribution of daily dietary energy consumption and minimum dietary energy requirement.;;SDG|SDG02|Prevalence of underweight;million;;mapping taken from NAVIGATE, NAVIGATE category: food;M;
Price|Agriculture|Energy Crops;USD_2010/GJ;1;Farm-gate price of second-generation bioenergy crops (short rotation grasses, short rotation trees);;Prices|Bioenergy;US$2017/GJ;0.9096;;M;
Price|Agriculture|Food Products [Index];Index (2020 = 1);1;Farm-gate price index of food crops and livestock products (weighted average);;Prices|Index2020|Agriculture|Food products;1;;;M;
Price|Agriculture|Food Products|Crops [Index];Index (2020 = 1);1;Farm-gate price index of food crops (weighted average);;Prices|Index2020|Agriculture|Food products|Plant-based;1;;;M;
Price|Agriculture|Food Products|Livestock [Index];Index (2020 = 1);1;Farm-gate price index of livestock products (weighted average);;Prices|Index2020|Agriculture|Food products|Livestock;1;;additional mapping taken from additional_SHAPE;M;
Price|Carbon;USD_2010/t CO2;;Price of carbon (as reported by the model);;Prices|GHG Emission|CO2|Primary Forest|Vegetation carbon;US$2017/tCO2;0.9096;;M;
Terrestrial Biodiversity|Biodiversity Intactness Index;%;2;Terrestrial biodiversity measured with Biodiversity Intactness Index (BII);The Biodiversity Intactness Index (BII) summarises the change in ecological communities in response to human pressures. The BII is an estimated percentage of the original number of species that remain and their abundance in any given area, despite human impacts. The main difference between MSA and BII is that every unit of land is given equal weight in MSA, whereas BII gives more weight to species-rich areas.;Biodiversity|BII;unitless;100;additional mapping taken from additional_NAVIGATE, additional_NAVIGATE category: SDG;M;
Terrestrial Biodiversity|Biodiversity Intactness Index|Areas Outside Key Conservation and Cropland Landscapes;%;3;Terrestrial biodiversity in areas outside biodiversity hotspot, intact forest & cropland landscapes measured with Biodiversity Intactness Index (BII);The Biodiversity Intactness Index (BII) summarises the change in ecological communities in response to human pressures. The BII is an estimated percentage of the original number of species that remain and their abundance in any given area, despite human impacts. The main difference between MSA and BII is that every unit of land is given equal weight in MSA, whereas BII gives more weight to species-rich areas.;Biodiversity|BII in areas outside Biodiversity Hotspots, Intact Forest & Cropland Landscapes;unitless;100;;M;
Terrestrial Biodiversity|Biodiversity Intactness Index|Biodiversity Hotspots;%;3;Terrestrial biodiversity in biodiversity hotspot landscapes measured with Biodiversity Intactness Index (BII);The Biodiversity Intactness Index (BII) summarises the change in ecological communities in response to human pressures. The BII is an estimated percentage of the original number of species that remain and their abundance in any given area, despite human impacts. The main difference between MSA and BII is that every unit of land is given equal weight in MSA, whereas BII gives more weight to species-rich areas.;Biodiversity|Biodiversity Hotspot BII;unitless;100;;M;
Terrestrial Biodiversity|Biodiversity Intactness Index|Cropland Landscapes;%;3;Terrestrial biodiversity in landscapes containing cropland measured with Biodiversity Intactness Index (BII);The Biodiversity Intactness Index (BII) summarises the change in ecological communities in response to human pressures. The BII is an estimated percentage of the original number of species that remain and their abundance in any given area, despite human impacts. The main difference between MSA and BII is that every unit of land is given equal weight in MSA, whereas BII gives more weight to species-rich areas.;Biodiversity|Cropland Landscapes BII;unitless;100;;M;
Terrestrial Biodiversity|Biodiversity Intactness Index|Key Conservation Landscapes;%;3;Terrestrial biodiversity in biodiversity hotspot and intact forest landscapes measured with Biodiversity Intactness Index (BII);The Biodiversity Intactness Index (BII) summarises the change in ecological communities in response to human pressures. The BII is an estimated percentage of the original number of species that remain and their abundance in any given area, despite human impacts. The main difference between MSA and BII is that every unit of land is given equal weight in MSA, whereas BII gives more weight to species-rich areas.;Biodiversity|Key Biodiversity Area BII;unitless;100;;M;
