idx;tier;category;variable;unit;piam_variable;piam_unit;piam_factor;internal_comment;comment;description;source
455;2;energy (capacity);Capacity|Hydrogen|Electricity;GW;Cap|Hydrogen|Electricity;GW;;;;Total installed (available) capacity of hydrogen-by-electrolysis plants. The installed (available) capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Electricity|w/ CCS|1, ..., Capacity|Hydrogen|Electricity|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
456;2;energy (capacity);Capacity|Hydrogen|Gas;GW;Cap|Hydrogen|Gas;GW;;;;Total installed (available) capacity of gas to hydrogen plants.;R
457;2;energy (capacity);Capacity|Hydrogen|Gas|w/ CCS;GW;Cap|Hydrogen|Gas|w/ CC;GW;;;;Total installed (available) capacity of gas to hydrogen plants with CCS. The installed (available) capacity of CCS gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Gas|w/ CCS|1, ..., Capacity|Hydrogen|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
458;2;energy (capacity);Capacity|Hydrogen|Gas|w/o CCS;GW;Cap|Hydrogen|Gas|w/o CC;GW;;;;Total installed (available) capacity of gas to hydrogen plants without CCS. The installed (available) capacity of gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Hydrogen|Gas|w/o CCS|1, ..., Capacity|Hydrogen|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
459;2;energy (capacity);Capacity|Liquids|Biomass;GW;Cap|Liquids|Biomass;GW;;;;Total installed (available) capacity of biomass to liquids plants.;R
460;2;energy (capacity);Capacity|Liquids|Biomass|w/ CCS;GW;;;;;;Total installed (available) capacity of biomass to liquids plants with CCS. The installed (available) capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/ CCS|1, ..., Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
461;2;energy (capacity);Capacity|Liquids|Biomass|w/o CCS;GW;;;;;;Total installed (available) capacity of biomass to liquids plants without CCS. The installed (available) capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Biomass|w/o CCS|1, ..., Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
462;2;energy (capacity);Capacity|Liquids|Coal;GW;Cap|Liquids|Coal;GW;;;;Total installed (available) capacity of coal to liquids plants.;R
463;2;energy (capacity);Capacity|Liquids|Coal|w/ CCS;GW;;;;;;Total installed (available) capacity of coal to liquids plants with CCS. The installed (available) capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/ CCS|1, ..., Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
464;2;energy (capacity);Capacity|Liquids|Coal|w/o CCS;GW;;;;;;Total installed (available) capacity of coal to liquids plants without CCS. The installed (available) capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Coal|w/o CCS|1, ..., Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
465;2;energy (capacity);Capacity|Liquids|Gas;GW;;;;;;Total installed (available) capacity of gas to liquids plants.;
466;2;energy (capacity);Capacity|Liquids|Gas|w/ CCS;GW;;;;;;Total installed (available) capacity of gas to liquids plants with CCS. The installed (available) capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/ CCS|1, ..., Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
467;2;energy (capacity);Capacity|Liquids|Gas|w/o CCS;GW;;;;;;Total installed (available) capacity of gas to liquids plants without CCS. The installed (available) capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/o CCS|1, ..., Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
468;2;energy (capacity);Capacity|Liquids|Oil;GW;Cap|Liquids|Oil;GW;;;;Total installed (available) capacity of oil refining plants. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/ CCS|1, ..., Capacity|Liquids|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
469;2;energy (capacity);Cumulative Capacity|Electricity|Biomass;GW;Cumulative Cap|Electricity|Biomass;GW;;;;Cumulative installed capacity (since 2005) of biomass power plants.;R
470;2;energy (capacity);Cumulative Capacity|Electricity|Coal;GW;Cumulative Cap|Electricity|Coal;GW;;;;Cumulative installed capacity (since 2005) of coal power plants.;R
471;2;energy (capacity);Cumulative Capacity|Electricity|Gas;GW;Cumulative Cap|Electricity|Gas;GW;;;;Cumulative installed capacity (since 2005) of gas power plants.;R
472;2;energy (capacity);Cumulative Capacity|Electricity|Geothermal;GW;Cumulative Cap|Electricity|Geothermal;GW;;;;Cumulative installed geothermal electricity generation capacity;R
473;2;energy (capacity);Cumulative Capacity|Electricity|Oil;GW;;;;;;Cumulative installed capacity (since 2005) of oil power plants.;
474;2;energy (capacity);Cumulative Capacity|Electricity|Solar;GW;Cumulative Cap|Electricity|Solar;GW;;;;Cumulative installed capacity (since 2005) of solar power.;R
475;2;energy (capacity);Cumulative Capacity|Gases|Biomass;GW;;;;;;Cumulative installed capacity (since 2005) of biomass to gas plants.;
476;2;energy (capacity);Cumulative Capacity|Gases|Biomass|w/ CCS;GW;;;;;;Cumulative installed capacity (since 2005) of biomass to gas plants with CCS. The cumulative capacity of CCS biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Biomass|w/ CCS|1, ..., Cumulative Capacity|Gases|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
477;2;energy (capacity);Cumulative Capacity|Gases|Biomass|w/o CCS;GW;;;;;;Cumulative installed capacity (since 2005) of biomass to gas plants without CCS. The cumulative capacity of biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Biomass|w/o CCS|1, ..., Cumulative Capacity|Gases|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
478;2;energy (capacity);Cumulative Capacity|Gases|Coal;GW;;;;;;Cumulative installed capacity (since 2005) of coal to gas plants.;
479;2;energy (capacity);Cumulative Capacity|Gases|Coal|w/ CCS;GW;;;;;;Cumulative installed capacity (since 2005) of coal to gas plants with CCS. The cumulative capacity of CCS coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Coal|w/ CCS|1, ..., Cumulative Capacity|Gases|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
480;2;energy (capacity);Cumulative Capacity|Gases|Coal|w/o CCS;GW;;;;;;Cumulative installed capacity (since 2005) of coal to gas plants without CCS. The cumulative capacity of coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Coal|w/o CCS|1, ..., Cumulative Capacity|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
481;2;energy (capacity);Cumulative Capacity|Hydrogen|Biomass;GW;Cumulative Cap|Hydrogen|Biomass;GW;;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants.;R
482;2;energy (capacity);Cumulative Capacity|Hydrogen|Biomass|w/ CCS;GW;Cumulative Cap|Hydrogen|Biomass|w/ CC;GW;;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants with CCS. The cumulative capacity of CCS biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
483;2;energy (capacity);Cumulative Capacity|Hydrogen|Biomass|w/o CCS;GW;Cumulative Cap|Hydrogen|Biomass|w/o CC;GW;;;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants without CCS. The cumulative capacity of biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
484;2;energy (capacity);Cumulative Capacity|Hydrogen|Coal;GW;Cumulative Cap|Hydrogen|Coal;GW;;;;Cumulative installed capacity (since 2005) of coal to hydrogen plants.;R
485;2;energy (capacity);Cumulative Capacity|Hydrogen|Coal|w/ CCS;GW;Cumulative Cap|Hydrogen|Coal|w/ CC;GW;;;;Cumulative installed capacity (since 2005) of coal to hydrogen plants with CCS. The cumulative capacity of CCS coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Coal|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
486;2;energy (capacity);Cumulative Capacity|Hydrogen|Coal|w/o CCS;GW;Cumulative Cap|Hydrogen|Coal|w/o CC;GW;;;;Cumulative installed capacity (since 2005) of coal to hydrogen plants without CCS. The cumulative capacity of coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Coal|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
487;2;energy (capacity);Cumulative Capacity|Hydrogen|Electricity;GW;Cumulative Cap|Hydrogen|Electricity;GW;;;;Cumulative installed capacity (since 2005) of hydrogen-by-electrolysis plants. The cumulative capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Electricity|1, ..., Cumulative Capacity|Hydrogen|Electricity|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
488;2;energy (capacity);Cumulative Capacity|Hydrogen|Gas;GW;Cumulative Cap|Hydrogen|Gas;GW;;;;Cumulative installed capacity (since 2005) of gas to hydrogen plants.;R
489;2;energy (capacity);Cumulative Capacity|Hydrogen|Gas|w/ CCS;GW;Cumulative Cap|Hydrogen|Gas|w/ CC;GW;;;;Cumulative installed capacity (since 2005) of gas to hydrogen plants with CCS. The cumulative capacity of CCS gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Gas|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
490;2;energy (capacity);Cumulative Capacity|Hydrogen|Gas|w/o CCS;GW;Cumulative Cap|Hydrogen|Gas|w/o CC;GW;;;;Cumulative installed capacity (since 2005) of gas to hydrogen plants without CCS. The cumulative capacity of gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Gas|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;R
491;2;energy (capacity);Cumulative Capacity|Liquids|Biomass;GW;;;;;;Cumulative installed capacity (since 2005) of biomass to liquids plants.;
492;2;energy (capacity);Cumulative Capacity|Liquids|Biomass|w/ CCS;GW;;;;;;Cumulative installed capacity (since 2005) of biomass to liquids plants with CCS. The cumulative capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/ CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
493;2;energy (capacity);Cumulative Capacity|Liquids|Biomass|w/o CCS;GW;;;;;;Cumulative installed capacity (since 2005) of biomass to liquids plants without CCS. The cumulative capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/o CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
494;2;energy (capacity);Cumulative Capacity|Liquids|Coal;GW;;;;;;Cumulative installed capacity (since 2005) of coal to liquids plants.;
495;2;energy (capacity);Cumulative Capacity|Liquids|Coal|w/ CCS;GW;;;;;;Cumulative installed capacity (since 2005) of coal to liquids plants with CCS. The cumulative capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/ CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
496;2;energy (capacity);Cumulative Capacity|Liquids|Coal|w/o CCS;GW;;;;;;Cumulative installed capacity (since 2005) of coal to liquids plants without CCS. The cumulative capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/o CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
497;2;energy (capacity);Cumulative Capacity|Liquids|Gas;GW;;;;;;Cumulative installed capacity (since 2005) of gas to liquids plants.;
498;2;energy (capacity);Cumulative Capacity|Liquids|Gas|w/ CCS;GW;;;;;;Cumulative installed capacity (since 2005) of gas to liquids plants with CCS. The cumulative capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Gas|w/ CCS|1, ..., Cumulative Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
499;2;energy (capacity);Cumulative Capacity|Liquids|Gas|w/o CCS;GW;;;;;;Cumulative installed capacity (since 2005) of gas to liquids plants without CCS. The cumulative capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Gas|w/o CCS|1, ..., Cumulative Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
500;2;energy (capacity);Cumulative Capacity|Liquids|Oil;GW;;;;;;Cumulative installed capacity (since 2005) of oil refining plants. The cumulative capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Oil|1, ..., Cumulative Capacity|Liquids|Oil|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).;
501;2;energy (capacity);Capacity Additions|Electricity|Biomass;GW/yr;New Cap|Electricity|Biomass;GW/yr;;;;Capacity additions of all biomass power plants (yearly average additions between previos and current model time step);R
502;2;energy (capacity);Capacity Additions|Electricity|Coal;GW/yr;New Cap|Electricity|Coal;GW/yr;;;;Capacity additions of all coal power plants (yearly average additions between previos and current model time step);R
503;2;energy (capacity);Capacity Additions|Electricity|Gas;GW/yr;New Cap|Electricity|Gas;GW/yr;;;;Capacity additions of all gas power plants (yearly average additions between previos and current model time step);R
504;2;energy (capacity);Capacity Additions|Electricity|Geothermal;GW/yr;New Cap|Electricity|Geothermal;GW/yr;;;;Capacity additions of geothermal power plants (yearly average additions between previos and current model time step);R
505;2;energy (capacity);Capacity Additions|Electricity|Oil;GW/yr;New Cap|Electricity|Oil;GW/yr;;;;Capacity additions of all oil power plants (yearly average additions between previos and current model time step);R
506;2;energy (capacity);Capacity Additions|Electricity|Solar;GW/yr;New Cap|Electricity|Solar;GW/yr;;;;Capacity additions of solar power plants (yearly average additions between previos and current model time step);R
507;2;energy (capacity);Capacity Additions|Electricity|Storage Capacity;GWh/yr;New Cap|Electricity|Storage|Battery;GW/yr;6;;;Capacity additions of electricity storage capacity (yearly average additions between previos and current model time step);R
508;2;energy (capacity);Capacity Additions|Electricity|Transmissions Grid;GWkm/yr;;;;;;Capacity additions of electricity storage (yearly average additions between previos and current model time step);
509;2;energy (capacity);Capacity|Electricity|Storage Capacity;GWh;;;;;;Total installed capacity of operating electricity storage;
510;2;energy (capacity);Capacity|Electricity|Transmissions Grid;GWkm;;;;;;Total installed capacity of operating transmission grid;
511;1;energy (final);Final Energy|Non-Energy Use;EJ/yr;FE|Non-energy Use|Industry;EJ/yr;;;;final energy consumption by the non-combustion processes;Rx
512;1;energy (final);Final Energy|Non-Energy Use|Solids;EJ/yr;FE|Non-energy Use|Industry|+|Solids;EJ/yr;;;;final energy consumption of solids by the non-combustion processes;Rx
513;1;energy (final);Final Energy|Non-Energy Use|Liquids;EJ/yr;FE|Non-energy Use|Industry|+|Liquids;EJ/yr;;;;final energy consumption of liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids) by the non-combustion processes;Rx
514;1;energy (final);Final Energy|Non-Energy Use|Gases;EJ/yr;FE|Non-energy Use|Industry|+|Gases;EJ/yr;;;;final energy consumption of gases (natural gas, biogas, coal-gas) by the non-combustion processes;Rx
515;1;energy (final);Final Energy|Non-Energy Use|Hydrogen;EJ/yr;;;;;;final energy consumption of hydrogen by the non-combustion processes;
516;2;energy (final);Final Energy|Non-Energy Use|Gases|Biomass;EJ/yr;;;;;;Final energy consumption of biogas by the non-combustion processes;
517;2;energy (final);Final Energy|Non-Energy Use|Gases|Electricity;EJ/yr;;;;;;Final energy consumption of synthetic e-fuel gas (power-to-gas) by the non-combustion processes;
518;2;energy (final);Final Energy|Non-Energy Use|Gases|Fossil;EJ/yr;;;;;;Final energy consumption of synthetic or derived gases of fossil origin by the non-combustion processes;
519;2;energy (final);Final Energy|Non-Energy Use|Liquids|Fossil;EJ/yr;;;;;;Final energy consumption of liquids of fossil origin (conventional & unconventional petroleum, coal-to-liquids, gas-to-liquids)by the non-combustion processes;
520;2;energy (final);Final Energy|Non-Energy Use|Liquids|Biomass;EJ/yr;;;;;;Final energy consumption of liquid biofuels by the non-combustion processes;
521;2;energy (final);Final Energy|Non-Energy Use|Liquids|Electricity;EJ/yr;;;;;;Final energy consumption of synthetic liquids of fossil origin by the non-combustion processes;
522;2;energy (final);Final Energy|Non-Energy Use|Solids|Coal;EJ/yr;;;;;;Final energy coal consumption by the non-combustion processes;
523;2;energy (final);Final Energy|Non-Energy Use|Solids|Biomass;EJ/yr;;;;;;Final energy consumption of solid biomass (modern and traditional, including renewable waste) by the non-combustion processes;
524;2;energy (final);Final Energy|Non-Energy Use|Waste;EJ/yr;;;;;;Final energy consumption of non-renewable waste by the non-combustion processes;
525;2;energy (final);Final Energy|Non-Energy Use|Other;EJ/yr;;;;;;Final energy consumption of other feedstocks by the non-combustion processes (please provide a definition of the feedstocks in this category in the 'comments' tab);
526;2;energy (final);Final Energy|Non-Energy Use|Chemicals;EJ/yr;;;;;;Final energy consumption in the chemical sector by the non-combustion processes;
527;2;energy (final);Final Energy|Non-Energy Use|Chemicals|Gases;EJ/yr;;;;;;Final energy consumption of gases by the chemical sector by the non-combustion processes;
528;3;energy (final);Final Energy|Non-Energy Use|Chemicals|Gases|Biomass;EJ/yr;;;;;;Final energy consumption of biogas by the chemical sector by the non-combustion processes;
529;3;energy (final);Final Energy|Non-Energy Use|Chemicals|Gases|Electricity;EJ/yr;;;;;;Final energy consumption of synthetic e-fuel gas (power-to-gas) by the chemical sector by the non-combustion processes;
530;3;energy (final);Final Energy|Non-Energy Use|Chemicals|Gases|Fossil;EJ/yr;;;;;;Final energy consumption of synthetic or derived gases of fossil origin by the chemical sector by the non-combustion processes;
531;2;energy (final);Final Energy|Non-Energy Use|Chemicals|Hydrogen;EJ/yr;;;;;;Final energy consumption of hydrogen by the chemical sector by the non-combustion processes;
532;2;energy (final);Final Energy|Non-Energy Use|Chemicals|Liquids;EJ/yr;;;;;;Final energy consumption of liquids by the chemical sector by the non-combustion processes;
533;3;energy (final);Final Energy|Non-Energy Use|Chemicals|Liquids|Biomass;EJ/yr;;;;;;Final energy consumption of liquid biofuels by the chemical sector by the non-combustion processes;
534;3;energy (final);Final Energy|Non-Energy Use|Chemicals|Liquids|Electricity;EJ/yr;;;;;;Final energy consumption of synthetic liquid efuels (power-to-liquid) by the chemical sector by the non-combustion processes;
535;3;energy (final);Final Energy|Non-Energy Use|Chemicals|Liquids|Fossil;EJ/yr;;;;;;Final energy consumption of liquids of fossil origin (conventional & unconventional petroleum, coal-to-liquids, gas-to-liquids)by the chemical sector by the non-combustion processes;
536;2;energy (final);Final Energy|Non-Energy Use|Chemicals|Solids;EJ/yr;;;;;;Final energy consumption of solids by the chemical sector by the non-combustion processes;
537;3;energy (final);Final Energy|Non-Energy Use|Chemicals|Solids|Biomass;EJ/yr;;;;;;Final energy consumption of solid biomass (modern and traditional, including renewable waste) by the chemical sector by the non-combustion processes;
538;3;energy (final);Final Energy|Non-Energy Use|Chemicals|Solids|Coal;EJ/yr;;;;;;Final energy consumption of coal by the chemical sector by the non-combustion processes;
539;2;energy (final);Final Energy|Non-Energy Use|Chemicals|Other;EJ/yr;;;;;;Final energy consumption of other feedstocks by the chemical sector by the non-combustion processes (please provide a definition of the feedstocks in this category in the 'comments' tab);
540;2;energy (final);Final Energy|Non-Energy Use|Chemicals|Waste;EJ/yr;;;;;;Final energy consumption of non-renewable waste by the chemical sector by the non-combustion processes;
541;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel;EJ/yr;;;;;;Final energy consumption in the iron and steel sector by the non-combustion processes;
542;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Gases;EJ/yr;;;;;;Final energy consumption of gases by the iron and steel sector by the non-combustion processes;
543;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Gases|Biomass;EJ/yr;;;;;;Final energy consumption of biogas by the iron and steel sector by the non-combustion processes;
544;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Gases|Electricity;EJ/yr;;;;;;Final energy consumption of synthetic e-fuel gas (power-to-gas) by the iron and steel sector by the non-combustion processes;
545;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Gases|Fossil;EJ/yr;;;;;;Final energy consumption of synthetic or derived gases of fossil origin by the iron and steel sector by the non-combustion processes;
546;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Hydrogen;EJ/yr;;;;;;Final energy consumption of hydrogen by the iron and steel sector by the non-combustion processes;
547;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Solids;EJ/yr;;;;;;Final energy consumption of Solids by the iron and steel sector by the non-combustion processes;
548;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Solids|Biomass;EJ/yr;;;;;;Final energy consumption of solid biomass (modern and traditional, including renewable waste) by the iron and steel sector by the non-combustion processes;
549;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Solids|Coal;EJ/yr;;;;;;Final energy consumption of coal by the iron and steel sector by the non-combustion processes;
550;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Liquids;EJ/yr;;;;;;Final energy consumption of Liquids by the iron and steel sector by the non-combustion processes;
551;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Liquids|Biomass;EJ/yr;;;;;;Final energy consumption of liquid biofuels by the iron and steel sector by the non-combustion processes;
552;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Liquids|Electricity;EJ/yr;;;;;;Final energy consumption of synthetic liquid efuels (power-to-liquid) by the iron and steel sector by the non-combustion processes;
553;3;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Liquids|Fossil;EJ/yr;;;;;;Final energy consumption of liquids of fossil origin (conventional & unconventional petroleum, coal-to-liquids, gas-to-liquids)by the iron and steel sector by the non-combustion processes;
554;2;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Other;EJ/yr;;;;;;Final energy consumption of other feedstocks by the iron and steel sector by the non-combustion processes (please provide a definition of the feedstocks in this category in the 'comments' tab);
555;2;energy (final);Final Energy|Non-Energy Use|Iron and Steel|Waste;EJ/yr;;;;;;Final energy consumption of non-renewable waste by the iron and steel sector by the non-combustion processes;
556;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals;EJ/yr;;;;;;Final energy consumption in the non-metallic minerals sector by the non-combustion processes;
557;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Gases;EJ/yr;;;;;;Final energy consumption of gases by the non-metallic minerals sector by the non-combustion processes;
558;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Gases|Biomass;EJ/yr;;;;;;Final energy consumption of biogas by the non-metallic minerals sector by the non-combustion processes;
559;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Gases|Electricity;EJ/yr;;;;;;Final energy consumption of synthetic e-fuel gas (power-to-gas) by the non-metallic minerals sector by the non-combustion processes;
560;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Gases|Fossil;EJ/yr;;;;;;Final energy consumption of synthetic or derived gases of fossil origin by the non-metallic minerals sector by the non-combustion processes;
561;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Hydrogen;EJ/yr;;;;;;Final energy consumption of hydrogen by the non-metallic minerals sector by the non-combustion processes;
562;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Liquids;EJ/yr;;;;;;Final energy consumption of liquids by the non-metallic minerals sector by the non-combustion processes;
563;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Liquids|Biomass;EJ/yr;;;;;;Final energy consumption of liquid biofuels by the non-metallic minerals sector by the non-combustion processes;
564;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Liquids|Electricity;EJ/yr;;;;;;Final energy consumption of synthetic liquid efuels (power-to-liquid) by the non-metallic minerals sector by the non-combustion processes;
565;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Liquids|Fossil;EJ/yr;;;;;;Final energy consumption of liquids of fossil origin (conventional & unconventional petroleum, coal-to-liquids, gas-to-liquids)by the non-metallic minerals sector by the non-combustion processes;
566;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Solids;EJ/yr;;;;;;Final energy consumption of solids by the non-metallic minerals sector by the non-combustion processes;
567;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Solids|Biomass;EJ/yr;;;;;;Final energy consumption of solid biomass (modern and traditional, including renewable waste) by the non-metallic minerals sector by the non-combustion processes;
568;3;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Solids|Coal;EJ/yr;;;;;;Final energy consumption of coal by the non-metallic minerals sector by the non-combustion processes;
569;2;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Other;EJ/yr;;;;;;Final energy consumption of other feedstocks by the non-metallic minerals sector by the non-combustion processes (please provide a definition of the feedstocks in this category in the 'comments' tab);
570;2;energy (final);Final Energy|Non-Energy Use|Non-Metallic Minerals|Waste;EJ/yr;;;;;;Final energy consumption of non-renewable waste by the non-metallic minerals sector by the non-combustion processes;
571;3;energy (final);Final Energy|Non-Energy Use|Non-Ferrous Metals;EJ/yr;;;;;;Final energy consumption in the Non-Ferrous Metals sector by the non-combustion processes;
572;3;energy (final);Final Energy|Non-Energy Use|Non-Ferrous Metals|Gases;EJ/yr;;;;;;Final energy consumption of gases by the Non-Ferrous Metals sector by the non-combustion processes;
573;3;energy (final);Final Energy|Non-Energy Use|Non-Ferrous Metals|Gases|Biomass;EJ/yr;;;;;;Final energy consumption of biogas by the Non-Ferrous Metals sector by the non-combustion processes;
