variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Emissions|Kyoto Gases|Energy|Supply|Heat|Fossil;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of centralized heat from fossil fuels including natural gas, oil and coal;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Heat|Fugitive;Mt CO2-equiv/yr;3;Fugitive emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases during production of heat;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Heat|Gas;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of centralized heat from fossil methane ('natural gas');;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Heat|Geothermal;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of centralized heat from geothermal energy excluding ground-source heat pumps;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Heat|Hydrogen;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of centralized heat from hydrogen;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Heat|Nuclear;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of centralized heat from nuclear energy;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Heat|Oil;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of centralized heat from refined crude oil;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Heat|Other;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of centralized heat from sources that do not fit any other category;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Heat|Solar;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of centralized heat from solar energy;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Biomass;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen generated from biomass;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Coal;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen from coal;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Combustion;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from fuel combustion during production of hydrogen;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Electricity;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen from electrolysis;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Fossil;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen from fossil fuels including natural gas, oil and coal;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Fugitive;Mt CO2-equiv/yr;3;Fugitive emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases during production of hydrogen;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Gas;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen from fossil methane ('natural gas');;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Nuclear;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat);;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Oil;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen from refined crude oil;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Other;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen from other sources;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Hydrogen|Solar;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat);;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Biomass;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of liquid fuels from biomass;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Coal;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of liquid fuels from coal;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Combustion;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from fuel combustion during production of refined liquid fuels including oil products, fuels from gas and coal, synthetic fossil fuels and biofuels;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Electricity;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product);;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Fossil;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Fugitive;Mt CO2-equiv/yr;3;Fugitive emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases during production of refined liquid fuels including oil products, fuels from gas and coal, synthetic fossil fuels and biofuels;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Gas;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of liquid fuels from fossil methane ('natural gas');;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Hydrogen;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Oil;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of liquid fuels from refined crude oil;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Liquids|Other;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of sources that do not fit any other category;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Other;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for other categories of energy supply;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Solids;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of solid energy carriers, including coal, briquettes, coke, and wood pellets;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Solids|Biomass;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of solid biomass (e.g., commercial charcoal, wood chips, wood pellets), not including traditional bioenergy;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Solids|Coal;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases for production of coal, lignite, and derived products (e.g., coke, briquettes);;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Solids|Combustion;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from fuel combustion during production of solid fuels;;;;;;;;linear
Emissions|Kyoto Gases|Energy|Supply|Solids|Fugitive;Mt CO2-equiv/yr;3;Fugitive emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases during production of solid fuels;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes;Mt CO2-equiv/yr;1;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including negative emissions such as those from cement carbonation processes and other forms of capture and storage on industrial processes;For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|GHG|+++|Industrial Processes;Mt CO2eq/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|Kyoto Gases|Industrial Processes|Cement;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the cement sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Chemicals;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the chemical sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Chemicals|Ammonia;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the ammonia sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Chemicals|High-Value Chemicals;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the high-value-chemicals sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Chemicals|Methanol;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the methanol sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Chemicals|Other Sector;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the other use in the chemical sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Iron and Steel;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the iron and steel sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Non-Ferrous Metals;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the non-ferrous metals sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Non-Metallic Minerals;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the non-metallic minerals sector excluding cement;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Other Sector;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the other industries;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Plastics;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the plastics sector;;;;;;;;linear
Emissions|Kyoto Gases|Industrial Processes|Pulp and Paper;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E) in the pulp and paper sector;;;;;;;;linear
Emissions|Kyoto Gases|Other;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from other sources (IPCC 1996 category 7 - IPCC 2006 category 5B) including fossil fuel fires and any sources or sinks that cannot be accommodated in other categories;This will be treated as a flux from the fossil reservoir to the atmosphere in climate models.;;Emi|GHG|+++|non-ES CDR;Mt CO2eq/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|Kyoto Gases|Other Capture and Removal;Mt CO2-equiv/yr;2;Capture and removal of atmospheric Kyoto GHG emissions, including CO2, CH4, N2O and F-gases using other net-negative technologies that are not directly linked to an emissions source, including direct air carbon capture and storage (DACCS) or enhanced weathering (EW), as well as durable wood products in building elements or plastics, mineral products, ocean fertilization, ocean alkalinity enhancement (OAE), and direct ocean capture.;This timeseries should be reported as negative values so that subcategories of emissions add up to net emissions 'Emissions|Preferably use AR4 100-year GWPs for aggregation of different gases'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;;;;;;linear
Emissions|Kyoto Gases|Product Use;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from product use (IPCC category 2D, 2F and 2G);;;;;;;;linear
Emissions|Kyoto Gases|Product Use|Non-Energy Use;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from non-energy products from fuels (IPCC category 2D1 and 2D2);;;;;;;;linear
Emissions|Kyoto Gases|Product Use|ODS Substitutes;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from use of substitutes of ozone depleting substances (ODS) (IPCC categories 2F);;;;;;;;linear
Emissions|Kyoto Gases|Product Use|Other;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from other product use or manufacturing;;;;;;;;linear
Emissions|Kyoto Gases|Product Use|Solvents;Mt CO2-equiv/yr;3;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from solvents use (IPCC category 2D3);;;;;;;;linear
Emissions|Kyoto Gases|Waste;Mt CO2-equiv/yr;2;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from waste of fossil-based products through incineration or decomposition (IPCC 1996 category 6 - IPCC 2006 category 4), not including emissions from organic waste handling and decay;;;Emi|GHG|+++|Waste;Mt CO2eq/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O;kt N2O/yr;1;Emissions of nitrous oxide (N2O) to the atmosphere;Net emissions 'Emissions|CO2' = 'Gross Emissions|CO2' + 'Gross Removals|CO2'. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|N2O;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU;kt N2O/yr;1;Emissions of nitrous oxide (N2O) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;This variable reports the sum of sources and sinks including land-use methods such as soil carbon sequestration, biochar, forestry, and re/afforestation and agroforestry. It uses the model/scientific definition of AFOLU, and does not align with the reporting of national greenhouse gas inventories (NGHGI). For NGHGI-aligned reporting, see 'Emissions|*|AFOLU [NGHGI]'. Emissions reported in this category represent fluxes to/from the atmosphere from/to the land pool. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|N2O|+|Agriculture;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU;kt N2O/yr;1;Emissions of nitrous oxide (N2O) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;This variable reports the sum of sources and sinks including land-use methods such as soil carbon sequestration, biochar, forestry, and re/afforestation and agroforestry. It uses the model/scientific definition of AFOLU, and does not align with the reporting of national greenhouse gas inventories (NGHGI). For NGHGI-aligned reporting, see 'Emissions|*|AFOLU [NGHGI]'. Emissions reported in this category represent fluxes to/from the atmosphere from/to the land pool. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|N2O|+|Land-Use Change;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU [NGHGI];kt N2O/yr;2;Emissions of nitrous oxide (N2O) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3) in line with the national greenhouse gas inventories (NGHGI);This variable is optional, for instance used for comparison with national greenhouse gas inventories, but is not used for driving climate model simulations, and also not a component of 'Emissions|*', for which the variable 'Emissions|*|AFOLU' with a model/scientific definition is used.;;;;;not represented;;linear
Emissions|N2O|AFOLU|Agricultural Waste Burning;kt N2O/yr;2;Emissions from agricultural waste burning (IPCC 1996 category 4F - partially IPCC 2006 category 3C1);Also sometimes known as 'biomass burning' or 'open agricultural burning';;Emi|N2O|Agriculture|+|Waste Burning;kt N2O/yr;;added manually;R;linear
Emissions|N2O|AFOLU|Agriculture;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from the agriculture sector (IPCC 1996 category 4 - IPCC 2006 category 3A and 3C except 3C1);;;Emi|N2O|+|Agriculture;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU|Agriculture;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from the agriculture sector (IPCC 1996 category 4 - IPCC 2006 category 3A and 3C except 3C1);;;Emi|N2O|Agriculture|+|Waste Burning;kt N2O/yr;-1;The IAMC Agricultural Waste Burning is not be part of Agriculture, so it needs to be removed;R;linear
Emissions|N2O|AFOLU|Agriculture|Livestock;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from livestock in the agriculture sector (IPCC 1996 category 4A and 4B - IPCC 2006 category 3A);;;Emi|N2O|Agriculture|+|Animal Waste Management;kt N2O/yr;;;R;linear
Emissions|N2O|AFOLU|Agriculture|Livestock|Enteric Fermentation;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from enteric fermentation of livestock (IPCC 1996 category 4A - IPCC 2006 category 3A1) in the agriculture sector;;;;;;;;linear
Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from processes involving manure (waste) management in Livestock in the agriculture sector (IPCC 1996 category 4B - IPCC 2006 category 3A2);;;Emi|N2O|Agriculture|+|Animal Waste Management;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;;Emi|N2O|Agriculture|+|Inorganic Fertilizers;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;;Emi|N2O|Agriculture|+|Manure applied to Croplands;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;;Emi|N2O|Agriculture|+|Decay of Crop Residues;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;;Emi|N2O|Agriculture|+|Soil Organic Matter Loss;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU|Agriculture|Managed Soils;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from soil management practices in the agriculture sector (IPCC 1996 category 4D - IPCC 2006 category 3C4 and 3C5);;;Emi|N2O|Agriculture|+|Pasture;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU|Agriculture|Rice;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from rice cultivation (IPCC 1996 category 4C - IPCC 2006 category 3C7);;;;;;;;linear
Emissions|N2O|AFOLU|Land;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from forestry and other land use and land use change. Removals in this variable include agroforestry, re/afforestation, biochar, soil carbon management and forest management.;;;Emi|N2O|+|Land-Use Change;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|AFOLU|Land|Fires;kt N2O/yr;3;Emissions from land fires and deforestation & degradation fires;;;Emi|N2O|Land-Use Change|+|Forest Burning;kt N2O/yr;;added manually;R;linear
Emissions|N2O|AFOLU|Land|Fires;kt N2O/yr;3;Emissions from land fires and deforestation & degradation fires;;;Emi|N2O|Land-Use Change|+|Savanna Burning;kt N2O/yr;;added manually;R;linear
Emissions|N2O|AFOLU|Land|Fires|Forest Burning;kt N2O/yr;3;Emissions from boreal forest fires, temperate forest fires, and tropical deforestation & degradation fires;;;Emi|N2O|Land-Use Change|+|Forest Burning;kt N2O/yr;;added manually;R;linear
Emissions|N2O|AFOLU|Land|Fires|Grassland Burning;kt N2O/yr;3;Emissions from savanna, grassland, and shrubland fires;;;Emi|N2O|Land-Use Change|+|Savanna Burning;kt N2O/yr;;added manually;R;linear
Emissions|N2O|AFOLU|Land|Fires|Peat Burning;kt N2O/yr;3;Emissions from peat fires;;;;;;not represented;;linear
Emissions|N2O|AFOLU|Land|Harvested Wood Products;kt N2O/yr;3;Emissions and removals from harvested wood products (HWP) (no clear IPCC 1996 category - IPCC 2006 category 3D1);;;;;;;;linear
Emissions|N2O|AFOLU|Land|Land Use and Land-Use Change;kt N2O/yr;3;Emissions and removals from forest land, cropland, grassland, settlements and other natural land (partially IPCC 1996 category 5 - IPCC 2006 category 3B except 3B1biii, 3B2biii, 3B3biii, 3B5biv, 3B6biv and 3B4).;This variable only includes anthropogenic emissions, but does not include emissions from managed or rewetted wetlands.;;;;;;;linear
Emissions|N2O|AFOLU|Land|Other;kt N2O/yr;3;Emissions and removals from land that cannot be  accommodated in other categories (no clear IPCC 1996 category - IPCC 2006 category 3D2);;;;;;;;linear
Emissions|N2O|AFOLU|Land|Wetlands;kt N2O/yr;3;Emissions of nitrous oxide (N2O) from managed wetlands (e.g., peatland), including emissions from drained wetlands used for agriculture, forestry or other uses (IPCC 2006 categories 3B1biii, 3B2biii and 3B3biii, 3B5biv, 3B6biv), and emissions from rewetted wetlands (IPCC 2006 category 3B4);Includes reservoirs as a managed sub-division and natural rivers and lakes as unmanaged sub-divisions. Includes drained and rewetted wetlands, does not include natural emissions from intact wetlands.;;Emi|N2O|Land-Use Change|+|Peatland;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|Energy;kt N2O/yr;1;Emissions of carbon dioxide (CO2) from energy use, including fugitive emissions from fuels (IPCC category 1A (except manufacturing 1A2 and other unspecified 1A5), 1B), reporting the sum of sources and sinks, including negative emissions from carbon capture and removal using BECCS and other forms of CCS on energy supply and demand for instance for Oil, Gas, and Coal, as well as bio-oil storage and synthetic fuels;For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|N2O|+|Energy Supply;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|Energy;kt N2O/yr;1;Emissions of carbon dioxide (CO2) from energy use, including fugitive emissions from fuels (IPCC category 1A (except manufacturing 1A2 and other unspecified 1A5), 1B), reporting the sum of sources and sinks, including negative emissions from carbon capture and removal using BECCS and other forms of CCS on energy supply and demand for instance for Oil, Gas, and Coal, as well as bio-oil storage and synthetic fuels;For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|N2O|+|Transport;kt N2O/yr;;mapping taken from NAVIGATE, NAVIGATE category: emissions (non-CO2);R;linear
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|N2O|+|Energy Supply;kt N2O/yr;;added manually;R;linear
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|N2O|+|Transport;kt N2O/yr;;added manually;R;linear
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;;Emi|N2O|+|Industry;kt N2O/yr;;added manually;R;linear
Emissions|N2O|Energy|Demand;kt N2O/yr;1;Emissions of nitrous oxide (N2O) from fuel combustion in industry (IPCC category 1A2), residential, commercial, institutional sectors and agriculture, forestry, fishing (AFOFI) (IPCC category 1A4a, 1A4b, 1A4c), and the transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei). This is the sum of sources and sinks, including negative emissions such as the demand-side use of bioenergy with CCS (BECCS);;;Emi|N2O|+|Transport;kt N2O/yr;1;mapping taken from ESABCC;R;linear
Emissions|N2O|Energy|Demand|AFOFI;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from fuel combustion in agriculture, forestry, fishing (AFOFI) (IPCC category 1A4c);;;;;;;;linear
Emissions|N2O|Energy|Demand|Bunkers;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from international bunker fuels (IPCC category 1A3ai and 1A3di);;;;;;;;linear
Emissions|N2O|Energy|Demand|Bunkers|International Aviation;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from bunker fuels for international aviation;;;;;;not represented;;linear
Emissions|N2O|Energy|Demand|Bunkers|International Shipping;kt N2O/yr;2;Emissions of nitrous oxide (N2O) from bunker fuels for international shipping;;;;;;not represented;;linear
